code,name,level
sp691,Argyreia eriocephala,LC
sp692,Argyreia formosana,LC
sp693,Argyreia fulvocymosa,VU
sp694,Argyreia henryi,LC
sp695,Argyreia henryi var. hypochrysa,DD
sp696,Argyreia lineariloba,DD
sp697,Argyreia marlipoensis,DD
sp698,Argyreia mastersii,LC
sp699,Argyreia maymyo,DD
sp700,Argyreia mollis,LC
sp701,Argyreia monosperma,LC
sp702,Argyreia osyrensis,LC
sp703,Argyreia osyrensis var. cinerea,LC
sp704,Argyreia pierreana,LC
sp705,Argyreia splendens,VU
sp706,Argyreia strigillosa,DD
sp707,Argyreia velutina,LC
sp708,Argyreia wallichii,LC
sp709,Aristolochia championii,NT
sp710,Aristolochia fangchi,LC
sp711,Aristolochia fulvicoma,VU
sp712,Aristolochia griffithii,LC
sp713,Aristolochia hainanensis,VU
sp714,Aristolochia howii,VU
sp715,Aristolochia kunmingensis,VU
sp716,Aristolochia kwangsiensis,LC
sp717,Aristolochia manshuriensis,NT
sp718,Aristolochia ovatifolia,NT
sp719,Aristolochia petelotii,NT
sp720,Aristolochia saccata,LC
sp721,Aristolochia scytophylla,EN
sp722,Aristolochia thwaitesii,VU
sp723,Aristolochia transsecta,DD
sp724,Aristolochia versicolor,NT
sp725,Armeniaca holosericea,LC
sp726,Armeniaca mandshurica,LC
sp727,Armeniaca mume,LC
sp728,Armeniaca sibirica,LC
sp729,Armeniaca vulgaris,LC
sp730,Armeniaca vulgaris var. ansu,NT
sp731,Artabotrys fragrans,NT
sp732,Artabotrys hainanensis,LC
sp733,Artabotrys hongkongensis,LC
sp734,Artabotrys multiflorus,LC
sp735,Artabotrys pilosus,DD
sp736,Artabotrys punctulatus,EN
sp737,Artabotrys rhynchocarpus,EN
sp738,Artemisia campestris,LC
sp739,Artemisia halodendron,LC
sp740,Artemisia klementzae,LC
sp741,Artemisia prattii,LC
sp742,Artemisia songarica,LC
sp743,Artemisia sphaerocephala,LC
sp744,Artemisia waltonii,LC
sp745,Artemisia wudanica,LC
sp746,Artemisia xerophytica,LC
sp747,Artocarpus chama,LC
sp748,Artocarpus hypargyreus,EN
sp749,Artocarpus lakoocha,VU
sp750,Artocarpus nanchuanensis,CR
sp751,Artocarpus nigrifolius,CR
sp752,Artocarpus nitidus ssp. griffithii,LC
sp753,Artocarpus petelotii,LC
sp754,Artocarpus pithecogallus,EN
sp755,Artocarpus styracifolius,LC
sp756,Artocarpus tonkinensis,LC
sp757,Artocarpus xanthocarpus,EN
sp758,Arundinaria faberi,NT
sp759,Arundinaria fargesii,LC
sp760,Arytera littoralis,LC
sp761,Aspidocarya uvifera,LC
sp762,Aspidopterys esquirolii,VU
sp763,Aspidopterys floribunda,LC
sp764,Aspidopterys glabriuscula,LC
sp765,Aspidopterys henryi,LC
sp766,Aspidopterys nutans,LC
sp767,Aspidopterys obcordata,LC
